route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
10226_109,65,230429553,S Treptower Park (Berlin),42247,0,,1518,1,1
10226_109,118,230429359,S+U Frankfurter Allee (Berlin),42247,0,,1498,1,1
10226_109,156,230429501,S+U Gesundbrunnen Bhf (Berlin),42247,0,,1476,1,1
10226_109,65,230429545,S Baumschulenweg (Berlin),42249,0,,1519,1,1
10226_109,156,230429491,S Beusselstr. (Berlin),42249,0,,1482,1,1
10226_109,105,230429191,S Südkreuz Bhf (Berlin),42249,0,,1505,1,1
10226_109,144,230429158,S Südkreuz Bhf (Berlin),42249,0,,1513,1,1
10226_109,64,230429579,S Südkreuz Bhf (Berlin),42249,0,,1513,1,1
10226_109,154,230429388,S+U Bundesplatz (Berlin),42249,0,,1490,1,1
10226_109,155,230429416,S+U Bundesplatz (Berlin),42249,0,,1490,1,1
10226_109,116,230429368,S+U Frankfurter Allee (Berlin),42249,0,,1498,1,1
10226_109,154,230429394,S Halensee (Berlin),42251,0,,1489,1,1
10226_109,155,230429422,S Halensee (Berlin),42251,0,,1489,1,1
10226_109,105,230429190,S Südkreuz Bhf (Berlin),42251,0,,1505,1,1
10226_109,144,230429150,S Südkreuz Bhf (Berlin),42251,0,,1513,1,1
10226_109,64,230429571,S Südkreuz Bhf (Berlin),42251,0,,1513,1,1
10226_109,116,230429358,S+U Frankfurter Allee (Berlin),42251,0,,1498,1,1
10226_109,156,230429500,S+U Gesundbrunnen Bhf (Berlin),42251,0,,1476,1,1
10226_109,156,230429490,S Beusselstr. (Berlin),42253,0,,1482,1,1
10226_109,105,230429189,S Südkreuz Bhf (Berlin),42253,0,,1505,1,1
10226_109,154,230429387,S+U Bundesplatz (Berlin),42253,0,,1490,1,1
10226_109,155,230429415,S+U Bundesplatz (Berlin),42253,0,,1490,1,1
10226_109,116,230429367,S+U Frankfurter Allee (Berlin),42253,0,,1498,1,1
10226_109,116,230429357,S+U Frankfurter Allee (Berlin),42255,0,,1498,1,1
10226_109,156,230429499,S+U Gesundbrunnen Bhf (Berlin),42255,0,,1476,1,1
10226_109,156,230429489,S Beusselstr. (Berlin),42257,0,,1482,1,1
10226_109,116,230429354,S Schöneweide Bhf (Berlin),42257,0,,1499,1,1
10226_109,154,230429393,S Halensee (Berlin),42259,0,,1489,1,1
10226_109,155,230429421,S Halensee (Berlin),42259,0,,1489,1,1
10226_109,144,230429149,S Südkreuz Bhf (Berlin),42259,0,,1513,1,1
10226_109,64,230429570,S Südkreuz Bhf (Berlin),42259,0,,1513,1,1
10226_109,156,230429498,S+U Gesundbrunnen Bhf (Berlin),42259,0,,1476,1,1
10226_109,118,230429352,S+U Hermannstr. (Berlin),42259,0,,1500,1,1
10226_109,65,230429543,S+U Hermannstr. (Berlin),42259,0,,1520,1,1
10226_109,156,230429488,S Beusselstr. (Berlin),42261,0,,1482,1,1
10226_109,154,230429386,S+U Bundesplatz (Berlin),42261,0,,1490,1,1
10226_109,155,230429414,S+U Bundesplatz (Berlin),42261,0,,1490,1,1
10226_109,118,230429351,S+U Bundesplatz (Berlin),42261,0,,1501,1,1
10226_109,144,230429147,S+U Bundesplatz (Berlin),42261,0,,1511,1,1
10226_109,64,230429167,S+U Bundesplatz (Berlin),42261,0,,1511,1,1
10226_109,65,230429542,S+U Bundesplatz (Berlin),42261,0,,1517,1,1
10226_109,65,230429540,Ringbahn S 42,42263,0,,1521,1,1
10226_109,154,230429384,S Westend (Berlin),42263,0,,1491,1,1
10226_109,155,230429412,S Westend (Berlin),42263,0,,1491,1,1
10226_109,105,230429184,S Westend (Berlin),42263,0,,1506,1,1
10226_109,144,230429146,S Westend (Berlin),42263,0,,1514,1,1
10226_109,64,230429568,S Westend (Berlin),42263,0,,1514,1,1
10226_109,156,230429497,S+U Gesundbrunnen Bhf (Berlin),42263,0,,1476,1,1
10226_109,118,230429350,S Westend (Berlin),42263,0,,1502,1,1
10226_109,156,230429495,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1476,1,1
10226_109,157,230429508,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1476,1,1
10226_109,154,230429383,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1492,1,1
10226_109,155,230429411,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1492,1,1
10226_109,118,230429209,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1503,1,1
10226_109,105,230429183,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1507,1,1
10226_109,144,230429590,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1515,1,1
10226_109,64,230429567,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1515,1,1
10226_109,65,230429539,S+U Gesundbrunnen Bhf (Berlin),42265,0,,1522,1,1
10226_109,65,230429538,Ringbahn S 42,42267,0,,1523,1,1
10226_109,156,230429487,S Greifswalder Str. (Berlin),42267,0,,1477,1,1
10226_109,154,230429382,S Greifswalder Str. (Berlin),42267,0,,1493,1,1
10226_109,155,230429410,S Greifswalder Str. (Berlin),42267,0,,1493,1,1
10226_109,105,230429182,S Greifswalder Str. (Berlin),42267,0,,1508,1,1
10226_109,144,230429589,S Greifswalder Str. (Berlin),42267,0,,1516,1,1
10226_109,64,230429565,S Greifswalder Str. (Berlin),42267,0,,1516,1,1
10226_109,154,230429380,S Ostkreuz Bhf (Berlin),42271,0,,1494,1,1
10226_109,155,230429409,S Ostkreuz Bhf (Berlin),42271,0,,1494,1,1
10226_109,156,230429486,S+U Hermannstr. (Berlin),42271,0,,1478,1,1
10226_109,105,230429178,S+U Hermannstr. (Berlin),42271,0,,1509,1,1
10226_109,132,224582154,S Halensee (Berlin),42273,0,,1481,1,1
10226_109,156,230429485,S+U Bundesplatz (Berlin),42273,0,,1479,1,1
10226_109,154,230429379,S+U Hermannstr. (Berlin),42273,0,,1495,1,1
10226_109,155,230429408,S+U Hermannstr. (Berlin),42273,0,,1495,1,1
10226_109,154,230429378,S Südkreuz Bhf (Berlin),42275,0,,1496,1,1
10226_109,155,230429407,S Südkreuz Bhf (Berlin),42275,0,,1496,1,1
10226_109,156,230429484,S Westend (Berlin),42275,0,,1480,1,1
10226_109,156,230429483,S Westend (Berlin),42277,0,,1480,1,1
10226_109,117,230429356,S+U Frankfurter Allee (Berlin),42281,0,,1498,1,1
10226_109,117,230429366,S+U Frankfurter Allee (Berlin),42283,0,,1498,1,1
10226_109,117,230429355,S+U Frankfurter Allee (Berlin),42285,0,,1498,1,1
10226_109,117,230429353,S Schöneweide Bhf (Berlin),42287,0,,1499,1,1
10226_109,117,230429365,S+U Frankfurter Allee (Berlin),42289,0,,1498,1,1
10226_109,144,230429157,S Südkreuz Bhf (Berlin),42293,0,,1513,1,1
10226_109,64,230429578,S Südkreuz Bhf (Berlin),42293,0,,1513,1,1
10226_109,154,230429392,S Halensee (Berlin),42295,0,,1489,1,1
10226_109,155,230429420,S Halensee (Berlin),42295,0,,1489,1,1
10226_109,105,230429188,S Südkreuz Bhf (Berlin),42295,0,,1505,1,1
10226_109,144,230429148,S Südkreuz Bhf (Berlin),42295,0,,1513,1,1
10226_109,64,230429569,S Südkreuz Bhf (Berlin),42295,0,,1513,1,1
10226_109,105,230429187,S Südkreuz Bhf (Berlin),42297,0,,1505,1,1
10226_109,144,230429156,S Südkreuz Bhf (Berlin),42297,0,,1513,1,1
10226_109,64,230429577,S Südkreuz Bhf (Berlin),42297,0,,1513,1,1
10226_109,154,230429385,S+U Bundesplatz (Berlin),42297,0,,1490,1,1
10226_109,155,230429413,S+U Bundesplatz (Berlin),42297,0,,1490,1,1
10226_109,158,224582138,S Beusselstr. (Berlin),42331,0,,1483,1,1
10226_109,158,224582137,S Beusselstr. (Berlin),42335,0,,1483,1,1
10226_109,159,224582136,S Beusselstr. (Berlin),42339,0,,1483,1,1
10226_109,160,224582134,S Beusselstr. (Berlin),42347,0,,1483,1,1
10226_109,160,224582101,S Beusselstr. (Berlin),42365,0,,1482,1,1
10226_109,158,224582115,S Halensee (Berlin),42431,0,,1481,1,1
10226_109,158,224582114,S Halensee (Berlin),42435,0,,1481,1,1
10226_109,158,224582113,S Halensee (Berlin),42439,0,,1481,1,1
10226_109,159,224582112,S Halensee (Berlin),42443,0,,1481,1,1
10226_109,159,224582111,S Halensee (Berlin),42447,0,,1481,1,1
10226_109,65,230429552,S Treptower Park (Berlin),42451,0,,1518,1,1
10226_109,65,230429544,S Baumschulenweg (Berlin),42453,0,,1519,1,1
10226_109,65,230429551,S Treptower Park (Berlin),42455,0,,1518,1,1
10226_109,156,230429482,S Westend (Berlin),42465,0,,1484,1,1
10226_109,156,230429481,Ringbahn S 42,42823,0,,1485,1,1
10226_109,65,230429530,S Treptower Park (Berlin),42827,0,,1524,1,1
10226_109,65,230429529,S Treptower Park (Berlin),42831,0,,1524,1,1
10226_109,65,230429526,S Baumschulenweg (Berlin),42833,0,,1525,1,1
10226_109,65,230429528,S Treptower Park (Berlin),42835,0,,1524,1,1
10226_109,65,230429525,S Baumschulenweg (Berlin),42837,0,,1525,1,1
10226_109,105,230429169,S+U Bundesplatz (Berlin),42887,0,,1511,1,1
10226_109,65,230429541,S+U Bundesplatz (Berlin),42887,0,,1517,1,1
10226_109,161,230429401,S Halensee (Berlin),42889,0,,1497,1,1
10226_109,105,230429168,S+U Bundesplatz (Berlin),42889,0,,1511,1,1
10226_109,105,230429166,S+U Warschauer Str. (Berlin),42891,0,,1401,1,1
10226_109,145,224582074,Ringbahn S 42,42015,0,4474,1475,1,1
10226_109,145,224581946,Ringbahn S 42,42027,0,4474,1482,1,1
10226_109,162,224581940,Ringbahn S 42,42039,0,4474,1482,1,1
10226_109,148,224582072,S Beusselstr. (Berlin),42051,0,4474,1482,1,1
10226_109,148,224582067,Ringbahn S 42,42063,0,4474,1482,1,1
10226_109,148,224582061,Ringbahn S 42,42075,0,4474,1482,1,1
10226_109,148,224582055,Ringbahn S 42,42087,0,4474,1482,1,1
10226_109,148,224582049,Ringbahn S 42,42099,0,4474,1482,1,1
10226_109,148,224582043,Ringbahn S 42,42111,0,4474,1482,1,1
10226_109,148,224582037,Ringbahn S 42,42123,0,4474,1482,1,1
10226_109,148,224582031,Ringbahn S 42,42135,0,4474,1482,1,1
10226_109,148,224582025,Ringbahn S 42,42147,0,4474,1482,1,1
10226_109,148,224582019,Ringbahn S 42,42159,0,4474,1482,1,1
10226_109,148,224582013,Ringbahn S 42,42171,0,4474,1482,1,1
10226_109,148,224582007,Ringbahn S 42,42183,0,4474,1482,1,1
10226_109,148,224582001,Ringbahn S 42,42195,0,4474,1482,1,1
10226_109,148,224581995,Ringbahn S 42,42207,0,4474,1482,1,1
10226_109,148,224581989,Ringbahn S 42,42219,0,4474,1482,1,1
10226_109,148,224581983,Ringbahn S 42,42231,0,4474,1482,1,1
10226_109,148,224581977,Ringbahn S 42,42243,0,4474,1482,1,1
10226_109,148,224581971,Ringbahn S 42,42255,0,4474,1482,1,1
10226_109,163,224581913,S Greifswalder Str. (Berlin),42267,0,4474,1477,1,1
10226_109,145,224582076,Ringbahn S 42,42013,0,4475,1474,1,1
10226_109,145,224581947,Ringbahn S 42,42025,0,4475,1482,1,1
10226_109,162,224581941,Ringbahn S 42,42037,0,4475,1482,1,1
10226_109,148,224582073,Ringbahn S 42,42049,0,4475,1482,1,1
10226_109,148,224582068,S Beusselstr. (Berlin),42061,0,4475,1482,1,1
10226_109,148,224582062,Ringbahn S 42,42073,0,4475,1482,1,1
10226_109,148,224582056,Ringbahn S 42,42085,0,4475,1482,1,1
10226_109,148,224582050,Ringbahn S 42,42097,0,4475,1482,1,1
10226_109,148,224582044,Ringbahn S 42,42109,0,4475,1482,1,1
10226_109,148,224582038,Ringbahn S 42,42121,0,4475,1482,1,1
10226_109,148,224582032,Ringbahn S 42,42133,0,4475,1482,1,1
10226_109,148,224582026,Ringbahn S 42,42145,0,4475,1482,1,1
10226_109,148,224582020,Ringbahn S 42,42157,0,4475,1482,1,1
10226_109,148,224582014,Ringbahn S 42,42169,0,4475,1482,1,1
10226_109,148,224582008,Ringbahn S 42,42181,0,4475,1482,1,1
10226_109,148,224582002,Ringbahn S 42,42193,0,4475,1482,1,1
10226_109,148,224581996,Ringbahn S 42,42205,0,4475,1482,1,1
10226_109,148,224581990,Ringbahn S 42,42217,0,4475,1482,1,1
10226_109,148,224581984,Ringbahn S 42,42229,0,4475,1482,1,1
10226_109,148,224581978,Ringbahn S 42,42241,0,4475,1482,1,1
